№;school;grade;sex;variant;short;entire;speaking;initial;final;min
2066;127;11;Ж;346;++++++++++++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2067;127;11;Ж;341;+++++++-++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2068;127;11;М;337;++++++++++++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2069;127;11;Ж;342;+++++++-++++;2(2)1(2)1(2)0(3)0(3)0(4)0(4);;15;72;27
2070;127;11;Ж;344;++++++-+++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2071;127;11;М;345;++++++-+++++;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2072;127;11;Ж;342;++++++++++++;2(2)0(2)1(2)0(3)0(3)0(4)0(4);;15;72;27
2073;127;11;Ж;344;++++++++++++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2074;127;11;Ж;342;++++++++++++;2(2)0(2)1(2)0(3)0(3)0(4)0(4);;15;72;27
2075;128;11;Ж;340;++++++++++++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2076;128;11;М;340;++++++++++--;2(2)2(2)0(2)0(3)0(3)0(4)1(4);;15;72;27
2077;129;11;Ж;337;++++++++++++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2078;131;11;М;347;+++++++++-++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2079;132;11;М;340;+++++++-++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2080;132;11;М;340;+++++++++-++;2(2)1(2)0(2)1(3)0(3)0(4)0(4);;15;72;27
2081;132;11;Ж;348;++++++++++++;0(2)1(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2082;132;11;М;346;+++++-++++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2083;133;11;М;337;++++++++++-+;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2084;133;11;М;348;++++++++++++;1(2)2(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2085;133;11;М;343;++++++-+++++;2(2)0(2)1(2)0(3)0(3)0(4)1(4);;15;72;27
2086;133;11;М;339;++++++-+++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2087;133;11;М;340;+++++++-++++;1(2)1(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2088;135;11;М;338;++++++++++++;1(2)2(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2089;135;11;Ж;340;++++++++++++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2090;135;11;Ж;345;+++++++-++++;2(2)1(2)1(2)0(3)0(3)0(4)0(4);;15;72;27
2091;135;11;Ж;348;++++++-+++++;2(2)1(2)1(2)0(3)0(3)0(4)0(4);;15;72;27
2092;135;11;М;348;++++++++++++;0(2)1(2)1(2)1(3)0(3)0(4)0(4);;15;72;27
2093;135;11;М;340;+-+++-++++++;0(2)0(2)2(2)3(3)0(3)0(4)0(4);;15;72;27
2094;135;11;Ж;346;++++++++++++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2095;135;11;М;337;++++++--++++;1(2)1(2)2(2)0(3)0(3)0(4)1(4);;15;72;27
2096;136;11;М;340;+++++++-++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2097;136;13;М;504;+++++++-++++;2(2)1(2)0(2)0(3)0(3)0(4)1(4);;15;72;27
2098;136;11;М;342;++++++--++++;1(2)2(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2099;136;11;М;338;++++++-+++++;2(2)0(2)1(2)0(3)0(3)1(4)0(4);;15;72;27
2100;136;11;Ж;347;++++++++++++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2101;136;11;М;346;++++++-+++++;2(2)1(2)1(2)0(3)0(3)0(4)0(4);;15;72;27
2102;136;11;М;341;++++++++++++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2103;136;11М;М;340;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)1(4);;15;72;27
2104;136;11;Ж;343;++++++-+++++;1(2)2(2)0(2)0(3)0(3)1(4)0(4);;15;72;27
2105;136;11;М;347;++++++++++-+;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2106;136;11;Ж;338;+++++--+++++;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2107;136;11;М;337;++++++-+++++;1(2)0(2)2(2)1(3)0(3)0(4)0(4);;15;72;27
2108;136;11;М;340;-+++++++++++;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2109;136;11;М;338;++++-+++++-+;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2110;136;11;М;338;++++++++++++;2(2)0(2)1(2)0(3)0(3)0(4)0(4);;15;72;27
2111;136;11;М;338;+++++++++++-;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2112;136;11;Ж;342;++++++-+++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2113;136;11;М;339;++++++++++++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2114;136;11;М;344;++++++-+++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2115;136;11;М;344;++++++-+++++;1(2)1(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2116;136;11;Ж;344;+++-++-+++++;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2117;136;11;Ж;342;+++++++++++-;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2118;136;11А;М;348;++++++++++++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2119;136;11А;М;346;++++++++++++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2120;136;11Б;Ж;348;+++++++-++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2121;136;11;Ж;343;++++++++++-+;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2122;136;11А;М;342;+++++-++++++;2(2)0(2)0(2)1(3)1(3)0(4)0(4);;15;72;27
2123;136;11А;Ж;348;++++++++++++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2124;136;11А;Ж;345;+++++++-++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2125;136;11А;М;342;+++++++-++++;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2126;136;11А;М;347;++++++-+++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2127;136;11А;М;339;++++++-+++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2128;136;11Б;М;348;++++++++++++;1(2)2(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2129;136;11В;Ж;347;+++++++-++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2130;136;11В;М;342;++++++++-+++;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2131;136;11Б;М;347;+++++++++++-;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2132;136;11Б;Ж;339;++++++++++++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2133;136;11Б;Ж;342;+++++++-++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2134;136;11;Ж;339;++++++++++++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2135;136;11;Ж;348;+++++++-++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2136;136;11;Ж;344;+++++++-++++;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2137;136;11;М;346;++++++-+++-+;2(2)0(2)2(2)0(3)0(3)0(4)1(4);;15;72;27
2138;136;11;Ж;346;++++++++++++;0(2)1(2)0(2)0(3)0(3)0(4)2(4);;15;72;27
2139;136;11;М;348;++++++-+++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2140;136;11;М;344;++++++-+++++;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2141;136;11;М;344;+++++++-++++;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2142;137;11А;М;348;-+++++++++++;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2143;137;11А;Ж;343;++++++--++-+;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2144;137;11А;Ж;338;++++++-+++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2145;137;11А;Ж;341;++++++-+++++;1(2)0(2)2(2)0(3)0(3)0(4)1(4);;15;72;27
2146;137;11А;М;346;++-+++++++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2147;137;11А;М;339;++++++-+++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2148;137;11А;Ж;346;++++++-+++++;0(2)2(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2149;121;11;М;339;+++++++-++++;2(2)0(2)0(2)3(3)0(3)0(4)0(4);;16;74;27
2150;123;11;Ж;343;++++++++++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2151;123;11;Ж;341;++++++++++++;0(2)2(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2152;126;11;Ж;347;++++++++++++;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;16;74;27
2153;126;11;М;346;++++++++++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2154;127;11;М;346;+++++++++-+-;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2155;127;11;М;501;++++++++++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2156;127;11;Ж;345;++++++++++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2157;127;11;Ж;347;++++++--++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2158;127;11Б;Ж;338;+++++++-++++;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2159;127;11;М;341;++++++++++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2160;131;11;М;348;++++++++++++;2(2)0(2)1(2)0(3)1(3)0(4)0(4);;16;74;27
2161;131;11;М;338;++++++++++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2162;131;11;Ж;346;-+++++++++++;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2163;131;11;М;340;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)2(4);;16;74;27
2164;132;11;Ж;344;++++++++++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2165;132;11;Ж;340;++++++-+++++;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2166;132;11;Ж;344;++++++++++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2167;133;11;Ж;346;++++++++++++;0(2)2(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2168;133;11;М;341;++++++-+++-+;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2169;135;11;Ж;337;++++++++++++;2(2)1(2)0(2)1(3)0(3)0(4)0(4);;16;74;27
2170;135;11;М;341;++++++--++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2171;135;11;М;348;++++++++++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2172;135;11;Ж;342;++++++++++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2173;136;11;Ж;348;+++++++-++++;2(2)0(2)0(2)0(3)3(3)0(4)0(4);;16;74;27
2174;136;11;Ж;342;++++++++++++;2(2)1(2)1(2)0(3)0(3)0(4)0(4);;16;74;27
2175;136;11;М;346;++++++++++++;0(2)2(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2176;136;11М;М;348;++++++++++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2177;136;11;Ж;341;+++++++-++++;2(2)2(2)1(2)0(3)0(3)0(4)0(4);;16;74;27
2178;136;11;Ж;339;++++++-+++++;2(2)1(2)0(2)1(3)0(3)0(4)1(4);;16;74;27
2179;136;11;М;348;+++++++++--+;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2180;136;11;Ж;347;+++++++++++-;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2181;136;11;М;347;++++++++++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2182;136;11;Ж;341;++++++++++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2183;136;11;Ж;348;++++++++++++;2(2)1(2)1(2)0(3)0(3)0(4)0(4);;16;74;27
2184;136;11;Ж;347;++++++-+++++;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2185;136;11;М;339;++++++++++++;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;16;74;27
2186;136;11;М;346;++++++-+++++;2(2)0(2)2(2)0(3)0(3)0(4)1(4);;16;74;27
2187;136;11;Ж;346;++++++++++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2188;136;11;Ж;343;++++++++++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2189;136;11;М;344;-+++++++++++;2(2)0(2)2(2)1(3)0(3)0(4)0(4);;16;74;27
2190;136;11;М;341;++++++++++++;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;16;74;27
2191;136;11А;М;340;++++++++++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2192;136;11А;М;341;++++++++++++;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;16;74;27
2193;136;11;М;344;+++++++-++++;1(2)1(2)2(2)0(3)1(3)0(4)0(4);;16;74;27
2194;136;11А;Ж;345;+++++++-++++;2(2)2(2)1(2)0(3)0(3)0(4)0(4);;16;74;27
2195;136;11А;Ж;345;+++++++-++++;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2196;136;11Б;М;347;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)2(4);;16;74;27
2197;136;11Б;Ж;340;+++++++-++++;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2198;136;11Б;М;348;++++++++++++;1(2)0(2)2(2)0(3)1(3)0(4)0(4);;16;74;27
2199;136;11Б;М;342;++++++++++++;1(2)1(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2200;136;11Б;М;344;++++++-+++++;2(2)2(2)0(2)1(3)0(3)0(4)0(4);;16;74;27
2201;136;11Б;Ж;341;+++++++-++++;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2202;136;11А;Ж;344;++++++++++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2203;136;11;Ж;347;++++++++++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2204;136;11;Ж;348;+-++++++++++;1(2)1(2)2(2)1(3)0(3)0(4)0(4);;16;74;27
2205;136;11;Ж;346;++++++++++++;2(2)0(2)0(2)1(3)0(3)0(4)1(4);;16;74;27
2206;136;11;М;338;++++++-+++++;2(2)0(2)2(2)0(3)0(3)0(4)1(4);;16;74;27
2207;136;11;Ж;340;++++++-+++++;1(2)1(2)2(2)0(3)1(3)0(4)0(4);;16;74;27
2208;136;11;М;341;+++++++-+++-;2(2)1(2)0(2)0(3)3(3)0(4)0(4);;16;74;27
2209;136;11;Ж;346;++++++-+++++;2(2)0(2)2(2)0(3)0(3)0(4)1(4);;16;74;27
2210;136;11;М;345;++++++++++++;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;16;74;27
2211;136;11;Ж;341;++++++++++++;2(2)1(2)0(2)0(3)1(3)0(4)0(4);;16;74;27
2212;136;11;Ж;344;++++++++++++;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;16;74;27
2213;136;11;М;342;++++++++++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2214;136;11;М;345;++++++++++++;0(2)2(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2215;136;11;Ж;339;++++++-+++++;2(2)0(2)2(2)0(3)1(3)0(4)0(4);;16;74;27
2216;136;11;М;337;+++++-++++++;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2217;136;11;Ж;339;++++++-+++++;2(2)0(2)2(2)0(3)1(3)0(4)0(4);;16;74;27
2218;137;11А;Ж;348;+++++--+++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2219;137;11А;М;341;++++++++++-+;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2220;137;11А;Ж;339;++++++-+++++;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2221;137;11;Ж;339;++++++--++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;16;74;27
2222;123;11;Ж;338;++++++-+++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;17;76;27
2223;123;11;Ж;339;++++++-+++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;17;76;27
2224;125;11А;М;348;++++++++++++;2(2)2(2)0(2)0(3)0(3)0(4)1(4);;17;76;27
2225;126;11;М;337;++++++++++-+;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;17;76;27
2226;127;11;М;342;++++++++++++;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;17;76;27
2227;127;11;Ж;339;++++++++++++;2(2)2(2)1(2)0(3)0(3)0(4)0(4);;17;76;27
2228;127;11;М;338;++++++++++++;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;17;76;27
2229;127;11;М;338;++++++++++++;2(2)0(2)2(2)0(3)1(3)0(4)0(4);;17;76;27
2230;127;11;М;342;++++++++++++;0(2)2(2)0(2)1(3)0(3)1(4)1(4);;17;76;27
2231;128;11;Ж;346;++++++++++++;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;17;76;27
2232;129;11;М;347;++++++-+++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;17;76;27
2233;131;11;Ж;346;+++++++-++++;2(2)1(2)2(2)0(3)0(3)1(4)0(4);;17;76;27
2234;132;11;М;344;++++++++++++;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;17;76;27
2235;133;11;М;342;+++++++-++++;2(2)1(2)2(2)0(3)1(3)0(4)0(4);;17;76;27
2236;133;11;М;341;++++++++++++;1(2)2(2)2(2)0(3)0(3)0(4)0(4);;17;76;27
2237;133;11;Ж;347;++++++++++++;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;17;76;27
2238;133;11;Ж;348;++++++++++++;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;17;76;27
2239;135;11;М;347;++++++++++++;2(2)0(2)2(2)0(3)0(3)0(4)1(4);;17;76;27
2240;136;11;Ж;347;++++++++++++;2(2)2(2)1(2)0(3)0(3)0(4)0(4);;17;76;27
2241;136;11М;Ж;343;++++++++++++;2(2)2(2)1(2)0(3)0(3)0(4)0(4);;17;76;27
2242;136;11;М;340;++++++++++++;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;17;76;27
2243;136;11;М;338;+++++++++++-;2(2)1(2)2(2)0(3)0(3)0(4)1(4);;17;76;27
2244;136;11;Ж;346;++++++++++-+;2(2)1(2)2(2)1(3)0(3)0(4)0(4);;17;76;27
2245;136;11;М;343;++++++++++++;1(2)2(2)2(2)0(3)0(3)0(4)0(4);;17;76;27
2246;136;11;М;341;++++++++++-+;2(2)1(2)2(2)0(3)1(3)0(4)0(4);;17;76;27
2247;136;11;М;344;++++++++++++;2(2)2(2)0(2)1(3)0(3)0(4)0(4);;17;76;27
2248;136;11;М;338;++++++++++++;2(2)0(2)2(2)0(3)1(3)0(4)0(4);;17;76;27
2249;136;11;Ж;340;+++++++++-++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;17;76;27
2250;136;11;Ж;339;++++++++++++;2(2)0(2)2(2)0(3)1(3)0(4)0(4);;17;76;27
2251;136;11;М;344;+++++++-++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;17;76;27
2252;136;11;М;343;++++++++++++;2(2)0(2)2(2)1(3)0(3)0(4)0(4);;17;76;27
2253;136;11;Ж;343;-+++++++++++;2(2)1(2)0(2)3(3)0(3)0(4)0(4);;17;76;27
2254;136;11;М;346;++++++++++++;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;17;76;27
2255;136;11А;Ж;347;++++++-+++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;17;76;27
2256;136;11А;Ж;343;+++++++-++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;17;76;27
2257;136;11Б;Ж;348;++++++++++++;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;17;76;27
2258;136;11В;М;343;++++++++++++;2(2)2(2)0(2)1(3)0(3)0(4)0(4);;17;76;27
2259;136;11Б;М;339;++++++++++++;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;17;76;27
2260;136;11Б;Ж;338;++++++++++++;2(2)0(2)2(2)0(3)0(3)0(4)1(4);;17;76;27
2261;136;11;М;345;++++++++++++;2(2)2(2)0(2)0(3)0(3)0(4)1(4);;17;76;27
2262;136;11;Ж;338;++++++++++-+;2(2)2(2)1(2)1(3)0(3)0(4)0(4);;17;76;27
2263;136;11;Ж;338;+++++++-++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;17;76;27
2264;136;11;Ж;344;++++++++++++;1(2)2(2)1(2)0(3)1(3)0(4)0(4);;17;76;27
2265;136;11;Ж;348;++++++-+++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;17;76;27
2266;136;11;Ж;348;+++++++-++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;17;76;27
2267;136;11;М;339;++++++++++++;2(2)0(2)2(2)0(3)1(3)0(4)0(4);;17;76;27
2268;136;11;М;345;++++++-+++++;2(2)1(2)2(2)1(3)0(3)0(4)0(4);;17;76;27
2269;136;11;М;337;++++++++++++;2(2)0(2)2(2)0(3)0(3)0(4)1(4);;17;76;27
2270;137;11А;М;348;++++++++++++;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;17;76;27
2271;137;11А;Ж;348;++++++++++++;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;17;76;27
2272;137;11А;М;348;++++++++++++;2(2)2(2)1(2)0(3)0(3)0(4)0(4);;17;76;27
2273;123;11;М;338;++++++++++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;18;78;27
2274;123;11;М;338;++++++++++++;1(2)2(2)2(2)1(3)0(3)0(4)0(4);;18;78;27
2275;123;11;Ж;337;++++++++++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;18;78;27
2276;126;11;М;338;++++++++++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;18;78;27
2277;127;13;Ж;104;-+++++++++++;2(2)0(2)2(2)3(3)0(3)0(4)0(4);;18;78;27
2278;127;11;М;345;++++++++++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;18;78;27
2279;127;11;М;337;++++++++++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;18;78;27
2280;127;11;Ж;348;++++++++++++;2(2)1(2)2(2)0(3)1(3)0(4)0(4);;18;78;27
2281;127;11;М;337;++++++++++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;18;78;27
2282;127;11;М;340;++++++++++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;18;78;27
2283;133;11;Ж;341;++++++++++++;2(2)1(2)2(2)0(3)0(3)0(4)1(4);;18;78;27
2284;133;11;Ж;341;++++++++++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;18;78;27
2285;135;11;Ж;345;+++++++-++++;2(2)2(2)2(2)0(3)1(3)0(4)0(4);;18;78;27
2286;136;11;М;339;++++++-+++++;2(2)0(2)2(2)0(3)3(3)0(4)0(4);;18;78;27
2287;136;11;М;337;++++++++++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;18;78;27
2288;136;11;Ж;347;+++++++-++++;2(2)2(2)2(2)0(3)1(3)0(4)0(4);;18;78;27
2289;136;11;М;342;++++++++++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;18;78;27
2290;136;11;Ж;340;++++++++++++;0(2)1(2)2(2)3(3)0(3)0(4)0(4);;18;78;27
2291;136;11;М;338;++++++++++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;18;78;27
2292;136;11;Ж;343;++++++++++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;18;78;27
2293;136;11;М;348;++++++++++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;18;78;27
2294;136;11;М;345;++++++--++++;2(2)2(2)2(2)0(3)2(3)0(4)0(4);;18;78;27
2295;136;11;М;338;++++++++++++;2(2)1(2)2(2)0(3)1(3)0(4)0(4);;18;78;27
2296;136;11;М;346;++++++++++-+;2(2)2(2)2(2)0(3)0(3)0(4)1(4);;18;78;27
2297;136;11;Ж;341;++++++++++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;18;78;27
2298;136;11А;Ж;348;++++++-+++++;2(2)2(2)2(2)0(3)0(3)0(4)1(4);;18;78;27
2299;136;11Б;Ж;340;++++++++++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;18;78;27
2300;136;11Б;Ж;339;++++++++++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;18;78;27
2301;136;11;М;341;+++++++++++-;2(2)2(2)2(2)1(3)0(3)0(4)0(4);;18;78;27
2302;136;11;М;340;++++++++++++;2(2)2(2)1(2)0(3)0(3)0(4)1(4);;18;78;27
2303;136;11;М;346;++++++++++++;2(2)0(2)2(2)0(3)0(3)0(4)2(4);;18;78;27
2304;136;11;Ж;346;++++++++++++;2(2)1(2)2(2)1(3)0(3)0(4)0(4);;18;78;27
2305;136;11;Ж;340;+++++++-++++;2(2)2(2)2(2)0(3)1(3)0(4)0(4);;18;78;27
2306;137;11А;Ж;337;+++++++-++++;2(2)2(2)2(2)1(3)0(3)0(4)0(4);;18;78;27
2307;137;11А;М;345;++++++++++++;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;18;78;27
2308;137;11;М;344;+++++-++++++;2(2)2(2)2(2)0(3)0(3)1(4)0(4);;18;78;27
2309;133;11;М;346;++++++++++++;2(2)2(2)2(2)0(3)1(3)0(4)0(4);;19;80;27
2310;135;11;М;337;+++++++-++++;2(2)2(2)2(2)0(3)0(3)0(4)2(4);;19;80;27
2311;136;11;М;343;++++++++++++;2(2)2(2)2(2)1(3)0(3)0(4)0(4);;19;80;27
2312;136;11;М;337;-+++++++++++;2(2)1(2)2(2)0(3)3(3)0(4)0(4);;19;80;27
2313;136;11;Ж;346;++++++++++++;2(2)2(2)2(2)1(3)0(3)0(4)0(4);;19;80;27
2314;136;11;М;343;++++++++++++;2(2)1(2)2(2)0(3)0(3)0(4)2(4);;19;80;27
2315;136;11;М;344;++++++++++++;1(2)1(2)2(2)0(3)3(3)0(4)0(4);;19;80;27
2316;136;11;Ж;345;++++++++++++;0(2)2(2)2(2)0(3)3(3)0(4)0(4);;19;80;27
2317;136;11;Ж;345;++++++++++++;2(2)2(2)2(2)1(3)0(3)0(4)0(4);;19;80;27
2318;136;11Б;Ж;347;++++++++++++;2(2)2(2)2(2)1(3)0(3)0(4)0(4);;19;80;27
2319;136;11;Ж;339;++++++++++++;2(2)2(2)0(2)0(3)0(3)3(4)0(4);;19;80;27
2320;136;11;М;341;++++++++++++;2(2)2(2)0(2)3(3)0(3)0(4)0(4);;19;80;27
