<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
FB-RM;60;20200909;140000;21023.0000000;21023.0000000;20986.0000000;20987.0000000;3
FB-RM;60;20200909;150000;20882.0000000;20882.0000000;20856.0000000;20856.0000000;10
FB-RM;60;20200909;160000;20953.0000000;20953.0000000;20780.0000000;20780.0000000;24
FB-RM;60;20200909;170000;20839.0000000;20877.0000000;20550.0000000;20550.0000000;46
FB-RM;60;20200909;180000;20721.0000000;20950.0000000;20566.0000000;20950.0000000;79
FB-RM;60;20200909;190000;20969.0000000;20969.0000000;20778.0000000;20792.0000000;46
FB-RM;60;20200909;200000;20905.0000000;20971.0000000;20899.0000000;20971.0000000;13
FB-RM;60;20200909;210000;20975.0000000;21029.0000000;20580.0000000;20605.0000000;37
FB-RM;60;20200909;220000;20630.0000000;20707.0000000;20586.0000000;20651.0000000;113
FB-RM;60;20200909;230000;20700.0000000;20808.0000000;20646.0000000;20690.0000000;57
FB-RM;60;20200910;0;20692.0000000;20692.0000000;20550.0000000;20550.0000000;51
FB-RM;60;20200910;110000;20702.0000000;20844.0000000;20682.0000000;20682.0000000;20
FB-RM;60;20200910;120000;20683.0000000;20683.0000000;20550.0000000;20603.0000000;34
FB-RM;60;20200910;130000;20603.0000000;20604.0000000;20603.0000000;20603.0000000;30
FB-RM;60;20200910;140000;20603.0000000;20603.0000000;20463.0000000;20547.0000000;16
FB-RM;60;20200910;150000;20520.0000000;20520.0000000;20520.0000000;20520.0000000;6
FB-RM;60;20200910;160000;20540.0000000;20692.0000000;20540.0000000;20692.0000000;49
FB-RM;60;20200910;170000;20724.0000000;20725.0000000;20364.0000000;20367.0000000;62
FB-RM;60;20200910;180000;20537.0000000;20920.0000000;20537.0000000;20566.0000000;40
FB-RM;60;20200910;190000;20538.0000000;20820.0000000;20537.0000000;20770.0000000;58
FB-RM;60;20200910;200000;20792.0000000;20792.0000000;20570.0000000;20570.0000000;46
FB-RM;60;20200910;210000;20570.0000000;20570.0000000;20560.0000000;20560.0000000;2
FB-RM;60;20200910;220000;20550.0000000;20550.0000000;20279.0000000;20348.0000000;110
FB-RM;60;20200910;230000;20222.0000000;20281.0000000;20161.0000000;20198.0000000;32
FB-RM;60;20200911;0;20216.0000000;20216.0000000;20216.0000000;20216.0000000;1
FB-RM;60;20200911;110000;20457.0000000;20458.0000000;20329.0000000;20358.0000000;39
FB-RM;60;20200911;120000;20381.0000000;20381.0000000;20379.0000000;20379.0000000;3
FB-RM;60;20200911;130000;20370.0000000;20370.0000000;20370.0000000;20370.0000000;1
FB-RM;60;20200911;140000;20370.0000000;20388.0000000;20300.0000000;20300.0000000;141
FB-RM;60;20200911;150000;20300.0000000;20300.0000000;20300.0000000;20300.0000000;9
FB-RM;60;20200911;160000;20300.0000000;20311.0000000;20249.0000000;20249.0000000;13
FB-RM;60;20200911;170000;20225.0000000;20225.0000000;19989.0000000;19989.0000000;18
FB-RM;60;20200911;180000;19989.0000000;20274.0000000;19989.0000000;20274.0000000;15
FB-RM;60;20200911;190000;20256.0000000;20256.0000000;20045.0000000;20078.0000000;16
FB-RM;60;20200911;200000;20002.0000000;20002.0000000;19900.0000000;19943.0000000;29
FB-RM;60;20200911;210000;19829.0000000;19840.0000000;19770.0000000;19770.0000000;7
FB-RM;60;20200911;220000;19830.0000000;19973.0000000;19830.0000000;19973.0000000;15
FB-RM;60;20200911;230000;20001.0000000;20001.0000000;20000.0000000;20000.0000000;6
FB-RM;60;20200912;0;19970.0000000;19970.0000000;19927.0000000;19927.0000000;3
FB-RM;60;20200914;110000;20257.0000000;20399.0000000;20257.0000000;20306.0000000;230
FB-RM;60;20200914;120000;20308.0000000;20308.0000000;20224.0000000;20232.0000000;41
FB-RM;60;20200914;130000;20235.0000000;20242.0000000;20235.0000000;20241.0000000;5
FB-RM;60;20200914;140000;20287.0000000;20398.0000000;20287.0000000;20398.0000000;6
FB-RM;60;20200914;150000;20398.0000000;20498.0000000;20398.0000000;20471.0000000;34
FB-RM;60;20200914;160000;20405.0000000;20484.0000000;20405.0000000;20440.0000000;9
FB-RM;60;20200914;170000;20405.0000000;20617.0000000;20340.0000000;20583.0000000;35
FB-RM;60;20200914;180000;20670.0000000;20781.0000000;20670.0000000;20728.0000000;30
FB-RM;60;20200914;190000;20700.0000000;20700.0000000;20568.0000000;20568.0000000;23
FB-RM;60;20200914;200000;20568.0000000;20568.0000000;20425.0000000;20425.0000000;8
FB-RM;60;20200914;210000;20288.0000000;20288.0000000;20241.0000000;20241.0000000;42
FB-RM;60;20200914;220000;20241.0000000;20241.0000000;20204.0000000;20204.0000000;33
FB-RM;60;20200914;230000;20167.0000000;20180.0000000;20037.0000000;20037.0000000;33
FB-RM;60;20200915;0;20089.0000000;20089.0000000;20089.0000000;20089.0000000;5
FB-RM;60;20200915;110000;20100.0000000;20367.0000000;20100.0000000;20300.0000000;29
FB-RM;60;20200915;120000;20300.0000000;20300.0000000;20121.0000000;20164.0000000;14
FB-RM;60;20200915;130000;20193.0000000;20229.0000000;20193.0000000;20229.0000000;2
FB-RM;60;20200915;140000;20229.0000000;20230.0000000;20206.0000000;20206.0000000;27
FB-RM;60;20200915;150000;20207.0000000;20258.0000000;20205.0000000;20246.0000000;57
FB-RM;60;20200915;160000;20246.0000000;20360.0000000;20210.0000000;20349.0000000;16
FB-RM;60;20200915;170000;20292.0000000;20614.0000000;20292.0000000;20536.0000000;114
FB-RM;60;20200915;180000;20516.0000000;20536.0000000;20510.0000000;20510.0000000;14
