<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
MVID;D;20140526;0;249.5300000;90100
MVID;D;20140527;0;242.8000000;108750
MVID;D;20140528;0;242.7800000;29310
MVID;D;20140529;0;246.5400000;60510
MVID;D;20140530;0;255.0000000;63690
MVID;D;20140602;0;258.6500000;73190
MVID;D;20140603;0;259.0000000;99160
MVID;D;20140604;0;260.0200000;99820
MVID;D;20140605;0;259.8100000;84590
MVID;D;20140606;0;258.9900000;99700
MVID;D;20140609;0;254.4500000;63820
MVID;D;20140610;0;256.0000000;72120
MVID;D;20140611;0;258.6400000;80100
MVID;D;20140616;0;265.0000000;295000
MVID;D;20140617;0;263.2000000;57790
MVID;D;20140618;0;270.0000000;193360
MVID;D;20140619;0;274.6000000;69640
MVID;D;20140620;0;273.8000000;146170
MVID;D;20140623;0;270.4000000;22690
MVID;D;20140624;0;269.9900000;70160
MVID;D;20140625;0;268.0000000;49350
MVID;D;20140626;0;269.1300000;46950
MVID;D;20140627;0;266.8400000;70250
MVID;D;20140630;0;269.9200000;87810
MVID;D;20140701;0;267.0000000;127680
MVID;D;20140702;0;268.9800000;134730
MVID;D;20140703;0;255.5000000;219410
MVID;D;20140704;0;254.6500000;51350
MVID;D;20140707;0;256.7400000;88030
MVID;D;20140708;0;256.1000000;63930
MVID;D;20140709;0;255.9900000;41580
MVID;D;20140710;0;249.2100000;160810
MVID;D;20140711;0;245.9500000;61370
MVID;D;20140714;0;252.8300000;44150
MVID;D;20140715;0;250.5400000;77050
MVID;D;20140716;0;252.3000000;31180
MVID;D;20140717;0;239.6400000;155450
MVID;D;20140718;0;235.1500000;178750
MVID;D;20140721;0;232.0000000;144210
MVID;D;20140722;0;232.5000000;54020
MVID;D;20140723;0;232.2200000;23630
MVID;D;20140724;0;232.8000000;23190
MVID;D;20140725;0;230.2500000;31920
MVID;D;20140728;0;227.1800000;21620
MVID;D;20140729;0;227.0000000;26860
MVID;D;20140730;0;227.9900000;60760
MVID;D;20140731;0;227.7200000;17140
MVID;D;20140801;0;221.3100000;93640
MVID;D;20140804;0;221.0800000;78700
MVID;D;20140805;0;221.2500000;59270
MVID;D;20140806;0;215.5000000;50860
MVID;D;20140807;0;210.0100000;342310
MVID;D;20140808;0;209.5000000;84310
MVID;D;20140811;0;211.5000000;49890
MVID;D;20140812;0;214.7600000;24970
MVID;D;20140813;0;215.4800000;178260
MVID;D;20140814;0;214.0600000;60340
MVID;D;20140815;0;212.0000000;129110
MVID;D;20140818;0;210.6200000;88130
MVID;D;20140819;0;210.3200000;44870
MVID;D;20140820;0;211.6500000;108120
MVID;D;20140821;0;211.0000000;138500
MVID;D;20140822;0;205.8800000;130630
MVID;D;20140825;0;201.8000000;152950
MVID;D;20140826;0;201.0000000;132930
MVID;D;20140827;0;188.5000000;1081680
MVID;D;20140828;0;190.0000000;423320
MVID;D;20140829;0;190.3000000;221360
MVID;D;20140901;0;188.9900000;49840
MVID;D;20140902;0;183.5000000;183980
MVID;D;20140903;0;198.7100000;456710
MVID;D;20140904;0;195.9700000;233950
MVID;D;20140905;0;199.2300000;209680
MVID;D;20140908;0;196.7500000;34630
MVID;D;20140909;0;197.2600000;154140
MVID;D;20140910;0;190.0000000;411110
MVID;D;20140911;0;190.7500000;75250
MVID;D;20140912;0;188.5500000;70320
MVID;D;20140915;0;193.2400000;108160
MVID;D;20140916;0;192.2900000;257980
MVID;D;20140917;0;192.5000000;114980
MVID;D;20140918;0;192.9900000;94690
MVID;D;20140919;0;194.9900000;834220
MVID;D;20140922;0;195.7400000;46540
MVID;D;20140923;0;202.0000000;144520
MVID;D;20140924;0;208.0800000;187720
MVID;D;20140925;0;208.0000000;205950
MVID;D;20140926;0;201.0000000;328840
MVID;D;20140929;0;197.8100000;623730
MVID;D;20140930;0;201.0000000;323750
MVID;D;20141001;0;201.4000000;49350
MVID;D;20141002;0;199.9000000;64890
MVID;D;20141003;0;199.2000000;44730
MVID;D;20141006;0;198.8000000;159960
MVID;D;20141007;0;198.3000000;143760
MVID;D;20141008;0;197.1000000;89170
MVID;D;20141009;0;197.0000000;66530
MVID;D;20141010;0;192.1000000;55200
MVID;D;20141013;0;187.0000000;106640
MVID;D;20141014;0;188.8000000;144310
MVID;D;20141015;0;185.4000000;28520
MVID;D;20141016;0;185.4000000;112060
MVID;D;20141017;0;190.0000000;53940
MVID;D;20141020;0;190.0000000;23460
MVID;D;20141021;0;186.9000000;46020
MVID;D;20141022;0;181.8000000;44540
MVID;D;20141023;0;190.2000000;69590
MVID;D;20141024;0;188.2000000;27690
MVID;D;20141027;0;204.5000000;632500
MVID;D;20141028;0;204.0000000;680010
MVID;D;20141029;0;204.0000000;206130
MVID;D;20141030;0;205.4000000;121990
MVID;D;20141031;0;211.9000000;342220
MVID;D;20141103;0;215.0000000;120750
MVID;D;20141105;0;213.9000000;88500
MVID;D;20141106;0;215.9000000;210470
MVID;D;20141107;0;211.0000000;166690
MVID;D;20141110;0;211.6000000;252320
MVID;D;20141111;0;211.0000000;231950
MVID;D;20141112;0;213.2000000;174420
MVID;D;20141113;0;212.2000000;123670
MVID;D;20141114;0;212.2000000;58560
MVID;D;20141117;0;212.0000000;66140
MVID;D;20141118;0;213.2000000;39360
MVID;D;20141119;0;215.0000000;249150
MVID;D;20141120;0;214.6000000;171260
MVID;D;20141121;0;214.0000000;190840
MVID;D;20141124;0;214.9000000;266980
MVID;D;20141125;0;215.3000000;156490
MVID;D;20141126;0;216.2000000;137130
MVID;D;20141127;0;215.8000000;109510
MVID;D;20141128;0;214.0000000;650370
MVID;D;20141201;0;209.2000000;382670
MVID;D;20141202;0;203.7000000;361140
MVID;D;20141203;0;201.0000000;427480
MVID;D;20141204;0;208.1000000;384530
MVID;D;20141205;0;208.4000000;202760
MVID;D;20141208;0;204.0000000;242070
MVID;D;20141209;0;201.1000000;257860
MVID;D;20141210;0;200.5000000;168980
MVID;D;20141211;0;190.7000000;375460
MVID;D;20141212;0;186.0000000;846610
MVID;D;20141215;0;150.4000000;883940
MVID;D;20141216;0;130.0000000;613500
MVID;D;20141217;0;134.0000000;328780
MVID;D;20141218;0;135.0000000;492300
MVID;D;20141219;0;129.8000000;343830
MVID;D;20141222;0;132.8000000;554780
MVID;D;20141223;0;132.3000000;360490
MVID;D;20141224;0;128.3000000;325520
MVID;D;20141225;0;123.0000000;235110
MVID;D;20141226;0;123.6000000;401570
MVID;D;20141229;0;123.8000000;312320
MVID;D;20141230;0;123.4000000;239890
MVID;D;20150105;0;135.5000000;96950
MVID;D;20150106;0;146.0000000;241310
MVID;D;20150108;0;148.5000000;117120
MVID;D;20150109;0;145.9000000;51170
MVID;D;20150112;0;141.7000000;69340
MVID;D;20150113;0;136.9000000;129920
MVID;D;20150114;0;136.5000000;106780
MVID;D;20150115;0;135.0000000;127730
MVID;D;20150116;0;132.0000000;400450
MVID;D;20150119;0;127.5000000;284320
MVID;D;20150120;0;128.3000000;127620
MVID;D;20150121;0;140.5000000;471570
MVID;D;20150122;0;148.2000000;413770
MVID;D;20150123;0;151.0000000;203890
MVID;D;20150126;0;143.7000000;80530
MVID;D;20150127;0;142.4000000;276180
MVID;D;20150128;0;142.3000000;172750
MVID;D;20150129;0;140.4000000;170780
MVID;D;20150130;0;139.6000000;293680
MVID;D;20150202;0;141.6000000;122650
MVID;D;20150203;0;142.0000000;50040
MVID;D;20150204;0;143.8000000;131330
MVID;D;20150205;0;152.0000000;234850
MVID;D;20150206;0;157.0000000;345870
MVID;D;20150209;0;159.0000000;319360
MVID;D;20150210;0;160.8000000;172680
MVID;D;20150211;0;160.3000000;222460
MVID;D;20150212;0;165.8000000;437230
MVID;D;20150213;0;169.3000000;106390
MVID;D;20150216;0;174.8000000;231500
MVID;D;20150217;0;177.0000000;207290
MVID;D;20150218;0;181.8000000;117010
MVID;D;20150219;0;175.0000000;149540
MVID;D;20150220;0;173.0000000;57420
MVID;D;20150224;0;171.2000000;45620
MVID;D;20150225;0;166.5000000;89680
MVID;D;20150226;0;166.4000000;40450
MVID;D;20150227;0;166.3000000;33430
MVID;D;20150302;0;180.4000000;200580
MVID;D;20150303;0;181.4000000;124150
MVID;D;20150304;0;176.0000000;65760
MVID;D;20150305;0;179.5000000;140550
MVID;D;20150306;0;178.9000000;73020
MVID;D;20150310;0;173.1000000;44010
MVID;D;20150311;0;172.2000000;129280
MVID;D;20150312;0;174.2000000;16410
MVID;D;20150313;0;172.0000000;63360
MVID;D;20150316;0;169.3000000;23000
MVID;D;20150317;0;168.3000000;51250
MVID;D;20150318;0;164.0000000;50250
MVID;D;20150319;0;162.1000000;46390
MVID;D;20150320;0;164.6000000;28820
MVID;D;20150323;0;164.7000000;25820
MVID;D;20150324;0;169.0000000;127610
MVID;D;20150325;0;178.7000000;111050
MVID;D;20150326;0;183.0000000;223140
MVID;D;20150327;0;179.1000000;47620
MVID;D;20150330;0;189.8000000;201260
MVID;D;20150331;0;193.0000000;240630
MVID;D;20150401;0;197.0000000;238480
MVID;D;20150402;0;195.0000000;193440
MVID;D;20150403;0;195.2000000;44030
MVID;D;20150406;0;196.0000000;90540
MVID;D;20150407;0;196.0000000;90010
MVID;D;20150408;0;190.0000000;66380
MVID;D;20150409;0;189.7000000;59180
MVID;D;20150410;0;185.4000000;53240
MVID;D;20150413;0;191.4000000;241950
MVID;D;20150414;0;190.0000000;94490
MVID;D;20150415;0;195.7000000;205520
MVID;D;20150416;0;195.7000000;65840
MVID;D;20150417;0;201.6000000;254510
MVID;D;20150420;0;212.5000000;322240
MVID;D;20150421;0;214.0000000;295340
MVID;D;20150422;0;209.5000000;161410
MVID;D;20150423;0;204.9000000;258510
MVID;D;20150424;0;208.0000000;44160
MVID;D;20150427;0;211.1000000;175500
MVID;D;20150428;0;210.0000000;49870
MVID;D;20150429;0;208.0000000;106290
MVID;D;20150430;0;208.0000000;212050
MVID;D;20150505;0;207.0000000;144170
MVID;D;20150506;0;208.0000000;233950
MVID;D;20150507;0;206.3000000;148030
MVID;D;20150508;0;207.9000000;69860
MVID;D;20150512;0;211.0000000;408970
MVID;D;20150513;0;211.1000000;107870
MVID;D;20150514;0;209.7000000;68410
MVID;D;20150515;0;208.1000000;37440
MVID;D;20150518;0;209.0000000;28020
MVID;D;20150519;0;207.0000000;95120
MVID;D;20150520;0;204.9000000;50810
MVID;D;20150521;0;206.3000000;32190
MVID;D;20150522;0;203.5000000;67090
MVID;D;20150525;0;204.5000000;19510
MVID;D;20150526;0;204.4000000;49660
MVID;D;20150527;0;207.5000000;150250
MVID;D;20150528;0;204.4000000;98230
MVID;D;20150529;0;202.0000000;89170
MVID;D;20150601;0;202.8000000;76970
MVID;D;20150602;0;201.9000000;41130
MVID;D;20150603;0;197.1000000;202540
MVID;D;20150604;0;196.5000000;73860
MVID;D;20150605;0;195.0000000;78230
MVID;D;20150608;0;195.0000000;122560
MVID;D;20150609;0;195.0000000;64630
MVID;D;20150610;0;194.2000000;50080
MVID;D;20150611;0;194.4000000;102840
MVID;D;20150615;0;200.3000000;134690
MVID;D;20150616;0;206.4000000;434830
MVID;D;20150617;0;212.2000000;235570
MVID;D;20150618;0;213.0000000;108790
MVID;D;20150619;0;214.5000000;98980
MVID;D;20150622;0;215.3000000;119370
MVID;D;20150623;0;217.1000000;104430
MVID;D;20150624;0;216.9000000;166790
MVID;D;20150625;0;216.6000000;761770
MVID;D;20150626;0;191.0000000;354840
MVID;D;20150629;0;190.5000000;105230
MVID;D;20150630;0;188.3000000;247550
MVID;D;20150701;0;188.5000000;102980
MVID;D;20150702;0;188.9000000;93910
MVID;D;20150703;0;188.2000000;75360
MVID;D;20150706;0;185.3000000;157880
MVID;D;20150707;0;185.4000000;65550
MVID;D;20150708;0;180.8000000;183390
MVID;D;20150709;0;180.5000000;612890
MVID;D;20150710;0;180.1000000;52640
MVID;D;20150713;0;180.1000000;70790
MVID;D;20150714;0;180.0000000;99850
MVID;D;20150715;0;182.4000000;32510
MVID;D;20150716;0;182.0000000;30490
MVID;D;20150717;0;186.0000000;227790
MVID;D;20150720;0;185.5000000;170430
MVID;D;20150721;0;185.3000000;55620
MVID;D;20150722;0;185.5000000;64130
MVID;D;20150723;0;186.1000000;153150
MVID;D;20150724;0;184.8000000;33280
MVID;D;20150727;0;187.0000000;242270
MVID;D;20150728;0;188.4000000;89670
MVID;D;20150729;0;194.9000000;263260
MVID;D;20150730;0;194.8000000;51060
MVID;D;20150731;0;195.0000000;53470
MVID;D;20150803;0;191.5000000;24090
MVID;D;20150804;0;195.9000000;51000
MVID;D;20150805;0;195.4000000;40010
MVID;D;20150806;0;193.5000000;45570
MVID;D;20150807;0;193.5000000;16640
MVID;D;20150810;0;194.1000000;60680
MVID;D;20150811;0;195.4000000;56090
MVID;D;20150812;0;196.8000000;99590
MVID;D;20150813;0;199.5000000;77480
MVID;D;20150814;0;200.2000000;99720
